episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
161,Q004,0.4798,4,3,accepted,1,0.6667,30.58,3328,703,320,0.003132,-0.538224,nan,-0.471987,-0.509814,-0.603464,True
162,Q086,0.385,4,3,accepted,1,1.0,25.38,6869,707,322,0.010398,-0.514883,nan,-0.440648,-0.512978,-0.629342,True
163,Q057,0.14,4,3,accepted,1,0.5,21.16,4034,711,324,0.002136,-0.389537,nan,-0.445513,-0.479097,-0.629079,True
164,Q079,0.3514,4,3,accepted,1,1.0,15.132,3659,715,326,0.002554,-0.45717,nan,-0.454898,-0.513789,-0.638702,True
165,Q018,0.4201,4,3,accepted,1,1.0,37.351,3128,719,328,0.00446,-0.499107,nan,-0.4758,-0.527785,-0.593769,True
166,Q061,0.5398,4,3,accepted,1,1.0,30.305,3487,723,330,0.001282,-0.47699,nan,-0.429934,-0.527984,-0.572995,True
167,Q072,0.6424,4,3,accepted,1,1.0,26.291,3131,727,332,0.004098,-0.477095,nan,-0.445617,-0.502373,-0.568486,True
168,Q058,0.477,4,3,accepted,1,1.0,26.482,3082,731,334,0.003157,-0.51583,nan,-0.476168,-0.562194,-0.646058,True
169,Q076,0.4984,4,3,accepted,1,1.0,14.491,5091,735,336,0.001378,-0.466932,nan,-0.405056,-0.518849,-0.505579,True
170,Q047,-0.6915,10,7,rejected,0,0.5,23.519,5474,745,341,0.004183,-0.410441,nan,-0.455618,-0.520444,-0.58587,True
171,Q004,0.4664,4,3,accepted,1,0.5,28.717,3276,749,343,0.008694,-0.475077,nan,-0.458843,-0.514992,-0.565588,True
172,Q074,0.3889,4,3,accepted,1,1.0,17.482,4994,753,345,0.001985,-0.435875,nan,-0.452327,-0.509557,-0.581925,True
173,Q013,0.2699,4,3,accepted,1,1.0,16.602,5006,757,347,0.007244,-0.475688,nan,-0.449076,-0.513791,-0.549299,True
174,Q084,0.4691,4,3,accepted,1,1.0,15.475,4812,761,349,0.002272,-0.446416,nan,-0.452178,-0.520344,-0.555881,True
175,Q077,0.1917,4,3,accepted,1,0.5,30.958,3524,765,351,0.00171,-0.488971,nan,-0.445275,-0.531905,-0.551086,True
176,Q008,0.3522,4,3,accepted,1,1.0,11.918,5015,769,353,0.008864,-0.434681,nan,-0.416221,-0.513152,-0.603363,True
177,Q049,-0.5223,10,7,rejected,0,0.6667,24.54,6409,779,358,0.001319,-0.480483,nan,-0.452367,-0.501317,-0.54687,True
178,Q040,-0.02,1,0,error,0,0.0,16.999,0,781,359,0.003797,-0.435333,nan,-0.433601,-0.518189,-0.579333,True
179,Q046,0.6958,4,3,accepted,1,1.0,10.199,3316,785,361,0.008913,-0.42016,nan,-0.422127,-0.519674,-0.541,True
180,Q074,0.3803,4,3,accepted,1,1.0,18.302,5249,789,363,0.003824,-0.511076,nan,-0.439014,-0.548926,-0.598212,True
181,Q019,0.397,4,3,accepted,1,1.0,32.416,3469,793,365,0.005817,-0.461211,nan,-0.405834,-0.538865,-0.582808,True
182,Q053,0.4754,4,3,accepted,1,1.0,15.554,5265,797,367,0.005494,-0.454492,nan,-0.350001,-0.483058,-0.496935,True
183,Q049,-0.4818,10,7,rejected,0,0.8,38.305,6676,807,372,0.006467,-0.450161,nan,-0.411561,-0.508232,-0.537971,True
184,Q071,0.4767,4,3,accepted,1,1.0,30.943,2845,811,374,0.004258,-0.396665,nan,-0.429299,-0.497676,-0.539174,True
185,Q039,0.3295,4,3,accepted,1,0.6667,25.198,3331,815,376,0.003246,-0.470836,nan,-0.478386,-0.532499,-0.631136,True
186,Q021,0.5085,4,3,accepted,1,1.0,51.075,4160,819,378,0.002467,-0.411923,nan,-0.448862,-0.513492,-0.568889,True
187,Q049,-0.5228,10,7,rejected,0,0.6667,29.66,6668,829,383,0.004102,-0.468969,nan,-0.476345,-0.554982,-0.535329,True
188,Q057,0.2406,4,3,accepted,1,1.0,21.13,3226,833,385,0.006672,-0.429687,nan,-0.429181,-0.52791,-0.526243,True
189,Q016,0.4773,4,3,accepted,1,1.0,17.692,5359,837,387,0.006369,-0.407998,nan,-0.423556,-0.540962,-0.576472,True
190,Q088,0.4647,4,3,accepted,1,1.0,21.969,2060,841,389,0.012321,-0.505995,nan,-0.471742,-0.530217,-0.58725,True
